,Playername,Teamname,Playerposition,2019car,2019rushyds,2019rushavg,2019rushtd,2019rec,2019recyds,2019rectds,2019fpts,2020car,2020rushyards,2020rushavg,2020rushtd,2020rec,2020recyds,2020rectd,2020fpts
0,Christian McCaffrey,Panthers,RB,287.0,1387.0,4.8,15.0,116.0,1005.0,4.0,471.2,233.0,1048.0,4.5,9.0,90.0,736.0,3.0,333.95
1,Ezekiel Elliott,Cowboys,RB,301.0,1357.0,4.5,12.0,54.0,420.0,2.0,311.7,282.0,1244.0,4.4,10.0,57.0,455.0,2.0,300.76
2,Saquon Barkley,Giants,RB,217.0,1003.0,4.6,6.0,52.0,438.0,2.0,244.1,261.0,1176.0,4.5,10.0,57.0,458.0,3.0,292.33
3,Dalvin Cook,Vikings,RB,250.0,1135.0,4.5,13.0,53.0,519.0,0.0,292.4,245.0,1051.0,4.3,10.0,64.0,536.0,1.0,291.72
4,Alvin Kamara,Saints,RB,171.0,797.0,4.7,5.0,81.0,533.0,1.0,248.52,194.0,876.0,4.5,8.0,78.0,600.0,3.0,290.39
5,Kenyan Drake,Cardinals,RB,170.0,817.0,4.8,8.0,50.0,345.0,0.0,214.2,210.0,979.0,4.7,9.0,53.0,399.0,2.0,253.23
6,Derrick Henry,Titans,RB,303.0,1540.0,5.1,16.0,18.0,206.0,2.0,294.6,288.0,1308.0,4.5,12.0,26.0,212.0,1.0,250.7
7,Aaron Jones,Packers,RB,236.0,1084.0,4.6,16.0,49.0,474.0,3.0,314.8,206.0,914.0,4.4,11.0,44.0,366.0,2.0,249.23
8,Miles Sanders,Eagles,RB,179.0,818.0,4.6,3.0,50.0,509.0,3.0,218.7,243.0,1061.0,4.4,7.0,43.0,359.0,2.0,238.78
9,Austin Ekeler,Chargers,RB,132.0,557.0,4.2,3.0,92.0,993.0,8.0,309.0,163.0,715.0,4.4,4.0,64.0,606.0,3.0,237.62
10,Nick Chubb,Browns,RB,298.0,1494.0,5.0,8.0,36.0,278.0,0.0,255.2,270.0,1267.0,4.7,9.0,27.0,210.0,1.0,234.96
11,Josh Jacobs,Raiders,RB,242.0,1150.0,4.8,7.0,20.0,166.0,0.0,191.6,256.0,1114.0,4.4,8.0,36.0,278.0,1.0,232.81
12,Joe Mixon,Bengals,RB,278.0,1137.0,4.1,5.0,35.0,287.0,3.0,225.4,269.0,1148.0,4.3,6.0,38.0,293.0,1.0,228.77
13,Chris Carson,Seahawks,RB,278.0,1230.0,4.4,7.0,37.0,266.0,2.0,232.6,249.0,1078.0,4.3,7.0,36.0,270.0,2.0,221.38
14,Todd Gurley II,Falcons,RB,223.0,857.0,3.8,12.0,31.0,207.0,2.0,219.4,211.0,856.0,4.1,7.0,45.0,373.0,2.0,221.22
15,David Johnson,Texans,RB,94.0,345.0,3.7,2.0,36.0,370.0,4.0,141.5,230.0,932.0,4.0,6.0,39.0,374.0,3.0,220.27
16,Leonard Fournette,Jaguars,RB,265.0,1152.0,4.3,3.0,76.0,522.0,0.0,259.4,214.0,880.0,4.1,5.0,55.0,403.0,1.0,218.61
17,Le'Veon Bell,Jets,RB,245.0,789.0,3.2,3.0,66.0,461.0,1.0,215.0,215.0,854.0,4.0,4.0,55.0,404.0,2.0,212.28
18,Melvin Gordon,Broncos,RB,162.0,612.0,3.8,8.0,42.0,296.0,1.0,180.8,180.0,722.0,4.0,6.0,46.0,361.0,2.0,201.44
19,Clyde Edwards-Helaire,Chiefs,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,749.0,4.4,6.0,39.0,330.0,3.0,199.32
20,Kareem Hunt,Browns,RB,43.0,179.0,4.2,2.0,37.0,285.0,1.0,101.4,86.0,387.0,4.5,3.0,56.0,495.0,3.0,180.52
21,James Conner,Steelers,RB,116.0,464.0,4.0,4.0,34.0,251.0,3.0,145.5,170.0,721.0,4.2,6.0,37.0,285.0,1.0,180.49
22,D'Andre Swift,Lions,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,769.0,4.2,5.0,35.0,283.0,1.0,175.87
23,Devin Singletary,Bills,RB,151.0,775.0,5.1,2.0,29.0,194.0,2.0,147.9,176.0,798.0,4.5,3.0,41.0,320.0,1.0,175.75
24,Jonathan Taylor,Colts,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,852.0,4.3,7.0,24.0,204.0,1.0,174.41
25,Tarik Cohen,Bears,RB,64.0,213.0,3.3,0.0,79.0,456.0,3.0,163.9,69.0,292.0,4.2,1.0,72.0,511.0,2.0,173.73
26,David Montgomery,Bears,RB,242.0,889.0,3.7,6.0,25.0,185.0,1.0,170.4,213.0,853.0,4.0,6.0,26.0,217.0,1.0,172.15
27,Mark Ingram II,Ravens,RB,202.0,1018.0,5.0,10.0,26.0,247.0,5.0,242.5,159.0,737.0,4.6,7.0,23.0,184.0,1.0,162.4
28,Ke'Shawn Vaughn,Buccaneers,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,663.0,4.2,5.0,32.0,245.0,1.0,157.6
29,Kerryon Johnson,Lions,RB,113.0,403.0,3.6,3.0,10.0,127.0,1.0,85.0,172.0,694.0,4.0,6.0,26.0,215.0,1.0,157.33
30,Ronald Jones II,Buccaneers,RB,172.0,724.0,4.2,6.0,31.0,309.0,0.0,166.3,174.0,721.0,4.2,5.0,28.0,216.0,1.0,157.05
31,Jordan Howard,Dolphins,RB,119.0,525.0,4.4,6.0,10.0,69.0,1.0,111.4,174.0,747.0,4.3,6.0,25.0,187.0,1.0,156.51
32,Derrius Guice,FA,RB,42.0,245.0,5.8,2.0,7.0,79.0,1.0,57.4,142.0,604.0,4.2,5.0,34.0,278.0,1.0,156.5
33,Raheem Mostert,49ers,RB,137.0,772.0,5.6,8.0,14.0,180.0,2.0,165.2,159.0,741.0,4.7,7.0,18.0,159.0,1.0,155.87
34,James White,Patriots,RB,67.0,263.0,3.9,1.0,72.0,645.0,5.0,200.2,59.0,252.0,4.3,2.0,54.0,487.0,3.0,155.59
35,Phillip Lindsay,Broncos,RB,224.0,1011.0,4.5,7.0,35.0,196.0,0.0,197.7,164.0,731.0,4.5,4.0,31.0,206.0,1.0,154.66
36,Cam Akers,Rams,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,708.0,4.2,7.0,22.0,180.0,1.0,154.25
37,Darrell Henderson Jr.,Rams,RB,39.0,147.0,3.8,0.0,4.0,37.0,0.0,22.4,127.0,525.0,4.1,4.0,35.0,291.0,1.0,147.7
38,Boston Scott,Eagles,RB,61.0,245.0,4.0,5.0,24.0,204.0,0.0,96.9,126.0,524.0,4.2,6.0,31.0,229.0,1.0,146.98
39,Nyheim Hines,Colts,RB,52.0,199.0,3.8,2.0,44.0,320.0,0.0,117.9,53.0,218.0,4.1,2.0,52.0,422.0,2.0,140.54
40,Damien Williams,Chiefs,RB,111.0,498.0,4.5,5.0,30.0,213.0,2.0,141.1,88.0,397.0,4.5,5.0,30.0,240.0,2.0,134.81
41,Duke Johnson,Texans,RB,83.0,410.0,4.9,2.0,44.0,410.0,3.0,154.0,68.0,314.0,4.6,1.0,44.0,387.0,2.0,134.59
42,Latavius Murray,Saints,RB,146.0,637.0,4.4,5.0,34.0,235.0,1.0,157.2,132.0,547.0,4.1,5.0,26.0,192.0,1.0,133.49
43,J.K. Dobbins,Ravens,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,593.0,4.4,4.0,25.0,206.0,1.0,132.33
44,Justin Jackson,Chargers,RB,29.0,200.0,6.9,0.0,9.0,22.0,0.0,31.2,135.0,572.0,4.3,4.0,27.0,201.0,1.0,131.17
45,Marlon Mack,Colts,RB,247.0,1091.0,4.4,8.0,14.0,82.0,0.0,181.3,154.0,676.0,4.4,5.0,16.0,126.0,1.0,130.97
46,Tevin Coleman,49ers,RB,137.0,544.0,4.0,6.0,21.0,180.0,1.0,135.4,131.0,541.0,4.1,5.0,18.0,178.0,1.0,128.17
47,Sony Michel,Patriots,RB,247.0,912.0,3.7,7.0,12.0,94.0,0.0,152.6,184.0,722.0,3.9,5.0,11.0,92.0,0.0,126.62
48,Matt Breida,Dolphins,RB,123.0,623.0,5.1,1.0,19.0,120.0,1.0,103.3,109.0,499.0,4.6,1.0,35.0,277.0,1.0,126.44
49,Zack Moss,Bills,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,613.0,4.3,4.0,19.0,148.0,1.0,123.35
50,Jamaal Williams,Packers,RB,107.0,460.0,4.3,1.0,39.0,253.0,5.0,146.3,85.0,351.0,4.1,2.0,33.0,253.0,2.0,113.56
51,Antonio Gibson,FA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,235.0,4.5,1.0,36.0,352.0,1.0,110.26
52,Jaylen Samuels,Steelers,RB,66.0,175.0,2.7,1.0,47.0,305.0,1.0,104.4,41.0,167.0,4.1,1.0,41.0,301.0,2.0,103.71
53,Tony Pollard,Cowboys,RB,86.0,455.0,5.3,2.0,15.0,107.0,1.0,89.2,83.0,364.0,4.4,2.0,26.0,205.0,1.0,102.88
54,Alexander Mattison,Vikings,RB,100.0,462.0,4.6,1.0,10.0,82.0,0.0,68.4,118.0,495.0,4.2,3.0,16.0,132.0,1.0,97.96
55,Darrynton Evans,Titans,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,377.0,4.1,2.0,22.0,171.0,1.0,95.49
56,Jerick McKinnon,49ers,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,318.0,3.8,2.0,24.0,189.0,1.0,92.04
57,Giovani Bernard,Bengals,RB,53.0,170.0,3.2,0.0,30.0,234.0,0.0,68.4,63.0,261.0,4.1,1.0,28.0,220.0,1.0,87.93
58,Jalen Richard,Raiders,RB,39.0,145.0,3.7,0.0,36.0,323.0,0.0,82.8,52.0,236.0,4.5,1.0,29.0,243.0,1.0,87.73
59,Ito Smith,Falcons,RB,22.0,106.0,4.8,1.0,11.0,87.0,0.0,36.3,61.0,248.0,4.1,2.0,24.0,182.0,1.0,82.92
60,Chase Edmonds,Cardinals,RB,60.0,303.0,5.1,4.0,12.0,105.0,1.0,82.8,69.0,298.0,4.3,2.0,17.0,129.0,1.0,78.59
61,Rashaad Penny,Seahawks,RB,65.0,370.0,5.7,3.0,8.0,83.0,1.0,75.3,66.0,292.0,4.4,2.0,14.0,112.0,1.0,70.43
62,Adrian Peterson,FA,RB,211.0,898.0,4.3,5.0,17.0,142.0,0.0,147.0,80.0,327.0,4.1,2.0,13.0,101.0,0.0,68.13
63,Anthony McFarland Jr.,Steelers,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,368.0,4.1,2.0,9.0,68.0,0.0,67.24
64,Joshua Kelley,Chargers,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,318.0,4.1,2.0,11.0,86.0,0.0,66.42
65,Rex Burkhead,Patriots,RB,65.0,302.0,4.6,3.0,27.0,279.0,0.0,101.1,37.0,157.0,4.2,1.0,20.0,183.0,1.0,66.1
66,Chris Thompson,Jaguars,RB,37.0,138.0,3.7,0.0,42.0,378.0,0.0,93.6,37.0,162.0,4.4,1.0,21.0,179.0,1.0,62.94
67,Dion Lewis,Giants,RB,54.0,209.0,3.9,0.0,25.0,164.0,1.0,66.3,60.0,245.0,4.1,1.0,17.0,118.0,1.0,62.76
68,Damien Harris,Patriots,RB,4.0,12.0,3.0,0.0,0.0,0.0,0.0,1.2,79.0,328.0,4.1,2.0,8.0,65.0,0.0,61.89
69,AJ Dillon,Packers,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,292.0,4.2,2.0,8.0,65.0,0.0,60.09
70,Frank Gore,Jets,RB,166.0,599.0,3.6,2.0,13.0,100.0,0.0,94.9,71.0,268.0,3.8,1.0,12.0,94.0,0.0,57.63
71,Dare Ogunbowale,Buccaneers,RB,11.0,17.0,1.5,2.0,35.0,286.0,0.0,75.3,28.0,115.0,4.2,1.0,18.0,144.0,1.0,56.66
72,Carlos Hyde,Seahawks,RB,245.0,1070.0,4.4,6.0,10.0,42.0,0.0,153.2,72.0,300.0,4.2,2.0,8.0,49.0,0.0,55.1
73,Reggie Bonnafon,Panthers,RB,16.0,116.0,7.3,1.0,6.0,57.0,0.0,29.3,46.0,190.0,4.1,1.0,14.0,109.0,0.0,53.17
74,Lynn Bowden Jr.,Raiders,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,126.0,4.5,1.0,16.0,145.0,1.0,51.69
75,Gus Edwards,Ravens,RB,133.0,711.0,5.3,2.0,7.0,45.0,0.0,92.6,74.0,341.0,4.6,2.0,4.0,30.0,0.0,50.34
76,La'Mical Perine,Jets,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,183.0,4.1,1.0,12.0,91.0,0.0,47.17
77,Patrick Laird,Dolphins,RB,62.0,168.0,2.7,1.0,23.0,204.0,0.0,68.2,21.0,84.0,4.1,0.0,18.0,141.0,1.0,46.04
78,Benny Snell Jr.,Steelers,RB,108.0,426.0,3.9,2.0,3.0,23.0,0.0,57.9,73.0,297.0,4.1,2.0,2.0,18.0,0.0,45.85
79,Ryquell Armstead,Jaguars,RB,35.0,108.0,3.1,0.0,14.0,144.0,2.0,51.2,50.0,206.0,4.1,1.0,8.0,69.0,0.0,45.03
80,Malcolm Brown,Rams,RB,69.0,255.0,3.7,5.0,2.0,16.0,0.0,59.1,39.0,157.0,4.1,2.0,7.0,55.0,0.0,39.87
81,Ryan Nall,Bears,RB,2.0,8.0,4.0,0.0,0.0,0.0,0.0,0.8,39.0,161.0,4.2,1.0,9.0,69.0,0.0,39.35
82,Qadree Ollison,Falcons,RB,22.0,50.0,2.3,4.0,1.0,7.0,0.0,30.7,46.0,188.0,4.0,2.0,5.0,38.0,0.0,38.08
83,Bryce Love,FA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,146.0,4.2,1.0,9.0,69.0,0.0,37.4
84,Kyle Juszczyk,49ers,RB,3.0,7.0,2.3,0.0,20.0,239.0,1.0,50.6,5.0,19.0,4.1,0.0,15.0,150.0,1.0,37.13
85,C.J. Ham,Vikings,RB,7.0,17.0,2.4,0.0,17.0,149.0,1.0,37.6,9.0,36.0,4.1,0.0,15.0,133.0,1.0,36.59
86,DeAndre Washington,Chiefs,RB,108.0,387.0,3.6,3.0,36.0,292.0,0.0,121.9,14.0,55.0,4.0,0.0,9.0,68.0,0.0,25.75
87,Ty Montgomery,Saints,RB,32.0,103.0,3.2,0.0,13.0,90.0,0.0,32.3,25.0,111.0,4.5,1.0,4.0,35.0,0.0,25.09
88,Royce Freeman,Broncos,RB,132.0,496.0,3.8,3.0,43.0,256.0,1.0,142.2,33.0,130.0,4.0,1.0,4.0,28.0,0.0,24.98
89,Devontae Booker,Raiders,RB,2.0,9.0,4.5,0.0,6.0,57.0,0.0,12.6,31.0,124.0,4.0,1.0,4.0,33.0,0.0,24.87
90,Brian Hill,Falcons,RB,78.0,323.0,4.1,2.0,10.0,69.0,1.0,67.2,18.0,75.0,4.2,0.0,7.0,57.0,0.0,24.37
91,Mike Boone,Vikings,RB,49.0,273.0,5.6,3.0,3.0,17.0,0.0,50.0,31.0,131.0,4.3,1.0,2.0,16.0,0.0,23.66
92,Trayveon Williams,Bengals,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,80.0,4.1,1.0,6.0,47.0,0.0,23.47
93,Dalyn Dawkins,Titans,RB,11.0,26.0,2.4,0.0,0.0,0.0,0.0,2.6,13.0,55.0,4.2,0.0,7.0,57.0,0.0,22.54
94,Dontrell Hilliard,Browns,RB,13.0,49.0,3.8,2.0,12.0,92.0,0.0,38.1,20.0,85.0,4.2,1.0,4.0,32.0,0.0,22.16
95,Justice Hill,Ravens,RB,58.0,225.0,3.9,2.0,8.0,70.0,0.0,49.5,10.0,41.0,4.2,0.0,7.0,59.0,0.0,20.9
96,Buddy Howell,Texans,RB,5.0,10.0,2.0,0.0,0.0,0.0,0.0,1.0,23.0,94.0,4.2,1.0,4.0,31.0,0.0,20.76
97,Eno Benjamin,Cardinals,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,78.0,4.1,1.0,4.0,33.0,0.0,19.28
98,Jeff Wilson Jr.,49ers,RB,27.0,105.0,3.9,4.0,3.0,34.0,1.0,46.9,23.0,95.0,4.1,1.0,2.0,16.0,0.0,18.56
99,Corey Clement,Eagles,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,21.0,87.0,4.2,1.0,2.0,18.0,0.0,18.55
100,Bo Scarbrough,Lions,RB,89.0,377.0,4.2,1.0,1.0,5.0,0.0,43.2,16.0,66.0,4.2,0.0,4.0,35.0,0.0,17.26
101,Jordan Wilkins,Colts,RB,51.0,307.0,6.0,2.0,7.0,43.0,0.0,54.0,13.0,59.0,4.4,0.0,4.0,33.0,0.0,16.99
102,Ameer Abdullah,Vikings,RB,23.0,115.0,5.0,0.0,15.0,88.0,1.0,39.3,9.0,36.0,4.1,0.0,6.0,48.0,0.0,16.89
103,Andrew Beck,Broncos,RB,1.0,3.0,3.0,0.0,9.0,90.0,1.0,24.54,0.0,0.0,0.0,0.0,8.0,64.0,0.0,16.04
104,Alec Ingold,Raiders,RB,10.0,17.0,1.7,0.0,6.0,44.0,1.0,18.1,12.0,49.0,4.1,0.0,4.0,33.0,0.0,15.75
105,Darwin Thompson,Chiefs,RB,37.0,128.0,3.5,1.0,9.0,43.0,0.0,32.1,10.0,42.0,4.1,0.0,4.0,34.0,0.0,15.34
106,Khari Blasingame,Titans,RB,0.0,0.0,0.0,0.0,4.0,54.0,0.0,9.4,0.0,0.0,0.0,0.0,7.0,60.0,0.0,15.27
107,Jason Huntley,Lions,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,42.0,4.2,0.0,4.0,34.0,0.0,14.49
108,Patrick Ricard,Ravens,"DT, RB",154.0,470.0,3.1,6.0,16.0,115.0,1.0,18.7,10.0,39.0,3.8,0.0,4.0,32.0,0.0,14.27
109,Peyton Barber,FA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.5,17.0,67.0,4.1,1.0,2.0,17.0,0.0,14.19
110,Jordan Chunn,Cowboys,RB,13.0,27.0,2.1,0.0,7.0,22.0,0.0,0.0,18.0,72.0,4.1,0.0,2.0,17.0,0.0,14.14
111,Mike Davis,Panthers,RB,58.0,225.0,3.9,2.0,8.0,70.0,0.0,11.9,10.0,41.0,4.2,0.0,4.0,30.0,0.0,13.91
112,Justice Hill,Ravens,RB,3.0,10.0,3.3,0.0,2.0,13.0,0.0,49.5,4.0,16.0,4.2,0.0,5.0,35.0,0.0,13.38
113,T.J. Logan,Buccaneers,RB,15.0,68.0,4.5,3.0,9.0,111.0,1.0,4.3,7.0,29.0,4.3,0.0,4.0,33.0,0.0,13.37
114,Brandon Bolden,Patriots,RB,15.0,39.0,2.6,0.0,2.0,9.0,0.0,50.9,7.0,30.0,4.1,0.0,4.0,33.0,0.0,13.3
115,Elijhaa Penny,Giants,RB,38.0,205.0,5.4,0.0,34.0,233.0,1.0,12.8,7.0,30.0,4.3,0.0,4.0,35.0,0.0,13.12
116,J.D. McKissic,FA,RB,8.0,12.0,1.5,0.0,0.0,0.0,0.0,83.8,7.0,31.0,4.2,0.0,4.0,31.0,0.0,12.69
117,Josh Adams,Jets,RB,17.0,63.0,3.7,0.0,13.0,124.0,0.0,1.2,16.0,67.0,4.1,0.0,2.0,14.0,0.0,12.02
