,Playername,Teamname,Playerposition,2019car,2019rushyds,2019rushavg,2019rushtd,2019rec,2019recyds,2019rectds,2019fpts,2020car,2020rushyards,2020rushavg,2020rushtd,2020rec,2020recyds,2020rectd,2020fpts
118,T.J. Yeldon,Bills,RB,4.0,9.0,2.3,0.0,2.0,22.0,0.0,29.7,3.0,14.0,4.1,0.0,4.0,37.0,0.0,11.69
119,Anthony Sherman,Chiefs,RB,1.0,1.0,1.0,1.0,5.0,42.0,0.0,5.1,4.0,17.0,4.1,0.0,4.0,35.0,0.0,11.26
120,Andy Janovich,Browns,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,8.0,31.0,4.1,0.0,3.0,22.0,0.0,11.14
121,DeeJay Dallas,Seahawks,RB,7.0,10.0,1.4,1.0,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,39.0,0.0,10.11
122,Derek Watt,Steelers,RB,0.0,0.0,0.0,0.0,1.0,8.0,0.0,13.2,0.0,0.0,0.0,0.0,4.0,36.0,0.0,9.43
123,Ricky Ortiz,Saints,RB,3.0,7.0,2.3,0.0,5.0,41.0,0.0,1.8,2.0,8.0,4.1,0.0,4.0,31.0,0.0,8.9
124,Patrick DiMarco,Bills,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,8.0,32.0,4.1,0.0,2.0,16.0,0.0,8.69
125,Rodney Anderson,Bengals,RB,4.0,9.0,2.3,0.0,0.0,0.0,0.0,0.0,7.0,29.0,4.1,0.0,2.0,17.0,0.0,8.58
126,Jordan Scarlett,Panthers,RB,0.0,0.0,0.0,0.0,2.0,13.0,1.0,0.9,0.0,0.0,0.0,0.0,4.0,34.0,0.0,8.3
127,Cethan Carter,Bengals,RB,9.0,40.0,4.4,0.0,1.0,9.0,0.0,9.3,6.0,25.0,4.1,0.0,2.0,16.0,0.0,8.29
128,Taiwan Jones,Bills,RB,3.0,9.0,3.0,0.0,0.0,0.0,0.0,5.9,4.0,16.0,4.0,0.0,2.0,18.0,0.0,7.29
129,John Kelly,Rams,RB,5.0,8.0,1.6,0.0,1.0,13.0,0.0,0.9,4.0,15.0,4.1,0.0,2.0,20.0,0.0,6.92
130,Keith Smith,Falcons,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,11.0,46.0,4.1,0.0,0.0,0.0,0.0,6.78
131,Karan Higdon,Texans,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,32.0,4.0,0.0,0.0,0.0,0.0,6.21
132,Raymond Calais,Buccaneers,RB,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,2.0,9.0,4.0,0.0,2.0,17.0,0.0,5.58
133,Jakob Johnson,Patriots,RB,24.0,122.0,5.1,0.0,1.0,9.0,0.0,1.5,8.0,35.0,4.3,0.0,0.0,0.0,0.0,5.39
134,Kerrith Whyte,Steelers,RB,4.0,21.0,5.3,0.0,6.0,71.0,0.0,14.1,8.0,34.0,4.2,0.0,0.0,0.0,0.0,5.02
135,D'Ernest Johnson,Browns,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,0.0,0.0,0.0,0.0,2.0,20.0,0.0,5.01
136,Jamize Olawale,Cowboys,RB,29.0,110.0,3.8,2.0,11.0,102.0,1.0,0.0,7.0,30.0,4.1,0.0,0.0,0.0,0.0,4.64
137,Wayne Gallman,Giants,RB,0.0,0.0,0.0,0.0,2.0,4.0,0.0,48.2,0.0,0.0,0.0,0.0,2.0,18.0,0.0,4.54
138,Roosevelt Nix,Colts,RB,0.0,0.0,0.0,0.0,2.0,23.0,1.0,2.4,0.0,0.0,0.0,0.0,2.0,16.0,0.0,4.22
139,Nick Bellore,Seahawks,RB,74.0,135.0,1.8,3.0,14.0,63.0,0.0,10.3,7.0,28.0,4.1,0.0,0.0,0.0,0.0,3.96
140,Kalen Ballage,Dolphins,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.8,6.0,26.0,4.1,0.0,0.0,0.0,0.0,3.92
141,Michael Warren II,Eagles,RB,5.0,11.0,2.2,0.0,0.0,0.0,0.0,0.0,6.0,24.0,4.1,0.0,0.0,0.0,0.0,3.9
142,Dexter Williams,Packers,RB,6.0,11.0,1.8,1.0,2.0,6.0,0.0,1.1,5.0,21.0,4.0,0.0,0.0,0.0,0.0,3.33
143,Alex Armah,Panthers,RB,9.0,27.0,3.0,0.0,3.0,23.0,0.0,9.7,5.0,21.0,4.1,0.0,0.0,0.0,0.0,3.26
144,Devine Ozigbo,Jaguars,RB,8.0,60.0,7.5,0.0,1.0,6.0,0.0,8.0,4.0,15.0,3.7,0.0,0.0,0.0,0.0,2.86
145,Dwayne Washington,Saints,RB,41.0,141.0,3.4,3.0,15.0,167.0,1.0,7.6,3.0,14.0,4.0,0.0,0.0,0.0,0.0,2.4
146,Darrel Williams,Chiefs,RB,1.0,10.0,10.0,0.0,2.0,11.0,0.0,67.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33
147,Tyler Ervin,Packers,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,2.0,8.0,4.0,0.0,0.0,0.0,0.0,1.59
148,Khalfani Muhammad,Broncos,RB,18.0,114.0,6.3,0.0,11.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11
149,Travis Homer,Seahawks,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36
150,Trenton Cannon,Jets,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
151,Malcolm Perry,Dolphins,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
152,Devonta Freeman,FA,RB,184.0,656.0,3.6,2.0,59.0,410.0,4.0,197.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,Shaun Wilson,Titans,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,Samaje Perine,Bengals,RB,5.0,16.0,3.2,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,Darius Jackson,Colts,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,D.J. Foster,Cardinals,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,Josh Ferguson,FA,RB,3.0,9.0,3.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,Danny Vitale,Patriots,RB,1.0,3.0,3.0,0.0,7.0,97.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,Trey Edmunds,Steelers,RB,22.0,92.0,4.2,0.0,6.0,48.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,Isaac Nauta,Lions,RB,0.0,0.0,0.0,0.0,2.0,13.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,Ty Johnson,Lions,RB,63.0,273.0,4.3,0.0,24.0,109.0,0.0,60.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,Cullen Gillaspia,Texans,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,Elijah Holyfield,Eagles,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,Senorise Perry,Titans,RB,3.0,3.0,1.0,0.0,1.0,1.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,Rod Smith,Raiders,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,Chandler Cox,Dolphins,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,Bruce Anderson,Colts,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,Myles Gaskin,Dolphins,RB,36.0,133.0,3.7,1.0,7.0,51.0,0.0,31.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,Elijah McGuire,Chiefs,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,Kenneth Dixon,Jets,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,Michael Burton,Saints,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,Damarea Crockett,Packers,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,Christian Wade,Bills,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,Wes Hills,Lions,RB,10.0,21.0,2.1,2.0,2.0,1.0,0.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,Craig Reynolds,Falcons,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,Tony Brooks-James,Vikings,RB,8.0,7.0,0.9,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,Jonathan Hilliman,Giants,RB,30.0,91.0,3.0,0.0,3.0,1.0,0.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,LeVante Bellamy,Broncos,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,JaMycal Hasty,49ers,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,J.J. Taylor,Patriots,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,James Robinson,Jaguars,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,Salvon Ahmed,49ers,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,Adrian Killins Jr.,Eagles,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,Darius Anderson,Cowboys,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,James Develin,Patriots,RB,2.0,3.0,1.5,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,Zach Line,Saints,RB,7.0,20.0,2.9,0.0,6.0,36.0,0.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,David Williams,Broncos,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,Roc Thomas,Jaguars,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,Rob Kelley,FA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,Mark Walton,Dolphins,RB,53.0,201.0,3.8,0.0,15.0,89.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,David Fluellen,FA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,Byron Marshall,FA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,Troymaine Pope,FA,RB,10.0,20.0,2.0,0.0,2.0,14.0,1.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,Kapri Bibbs,Packers,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,Jeremy McNichols,FA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,Justin Davis,FA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,Jeremy Langford,Falcons,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,Malcolm Johnson,FA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,Detrez Newsome,FA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,Matt Dayes,FA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,Jonathan Williams,FA,RB,49.0,235.0,4.8,1.0,5.0,59.0,0.0,40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,C.J. Prosise,FA,RB,23.0,72.0,3.1,1.0,10.0,76.0,0.0,28.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,Devante Mays,FA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,De'Lance Turner,FA,RB,4.0,6.0,1.5,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,Tra Carson,FA,RB,18.0,48.0,2.7,0.0,4.0,18.0,0.0,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,Brandon Wilds,49ers,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,Paul Perkins,Jaguars,RB,12.0,29.0,2.4,0.0,1.0,9.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,Tre Madden,FA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,Doug Martin,FA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,Mike Weber,FA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,Spencer Ware,FA,RB,17.0,51.0,3.0,0.0,5.0,22.0,0.0,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,James Williams,Lions,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,Kenjon Barner,FA,RB,4.0,28.0,7.0,0.0,6.0,22.0,0.0,15.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,Quinton Flowers,FA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,Chris Warren,FA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,Keith Ford,Packers,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,Isaiah Crowell,FA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,Marcus Murphy,Panthers,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,Zach Zenner,Dolphins,RB,3.0,-2.0,-0.7,0.0,2.0,19.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,D'Onta Foreman,FA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,Wendell Smallwood,FA,RB,22.0,81.0,3.7,0.0,9.0,64.0,0.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,Shane Smith,FA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,Cameron Artis-Payne,FA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,Akrum Wadley,FA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,Alex Collins,Ravens,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,Javorius Allen,FA,RB,10.0,36.0,3.6,1.0,1.0,9.0,0.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,Charcandrick West,FA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,Alfred Blue,Jaguars,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,Corey Grant,FA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,Jay Ajayi,FA,RB,10.0,30.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,Derrick Coleman,FA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,Benny Cunningham,FA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,Christine Michael,FA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,C.J. Anderson,Lions,RB,16.0,43.0,2.7,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,Travaris Cadet,FA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,Mike Gillislee,FA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,Tommy Bohanon,FA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,Theo Riddick,FA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,Jeremy Hill,FA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,Lamar Miller,FA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,Chris Ivory,FA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,Robert Turbin,FA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,Jacquizz Rodgers,FA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,Stevan Ridley,FA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,Bilal Powell,FA,RB,59.0,229.0,3.9,0.0,7.0,33.0,0.0,33.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,Alfred Morris,Cardinals,RB,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,Jamaal Charles,FA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,LeGarrette Blount,FA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,Jonathan Stewart,FA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,Marshawn Lynch,FA,RB,12.0,34.0,2.8,1.0,0.0,0.0,0.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,Darren Sproles,Eagles,RB,17.0,66.0,3.9,0.0,6.0,24.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,LeSean McCoy,FA,RB,101.0,465.0,4.6,4.0,28.0,181.0,1.0,118.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,Alex Barnes,Titans,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,Austin Walter,Giants,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
